n00004475	organism, being
n05455113	spherocyte
n05458173	ootid
n05458576	oocyte
n05459101	spermatid
n05459457	Leydig cell, Leydig's cell
n05459769	striated muscle cell, striated muscle fiber
n05460759	smooth muscle cell
n05464534	Ranvier's nodes, nodes of Ranvier
n05467054	neuroglia, glia
n05467758	astrocyte
n05468098	protoplasmic astrocyte
n05468739	oligodendrocyte
n05469664	proprioceptor
n05469861	dendrite
n05475397	sensory fiber, afferent fiber
n05482922	subarachnoid space
n05486510	cerebral cortex, cerebral mantle, pallium, cortex
n05491154	renal cortex
n05526957	prepuce, foreskin
n05538625	head, caput
n05539947	scalp
n05541509	frontal eminence
n05542893	suture, sutura, fibrous joint
n05545879	foramen magnum
n05571341	esophagogastric junction, oesophagogastric junction
n05578095	heel
n05581932	cuticle
n05584746	hangnail, agnail
n05586759	exoskeleton
n05604434	abdominal wall
n05716342	lemon
n06008896	coordinate axis
n06209940	landscape
n06254669	medium
n06255081	vehicle
n06255613	paper
n06259898	channel, transmission channel
n06262567	film, cinema, celluloid
n06262943	silver screen
n06263202	free press
n06263369	press, public press
n06263609	print media
n06263762	storage medium, data-storage medium
n06263895	magnetic storage medium, magnetic medium, magnetic storage
n06266417	journalism, news media
n06266633	Fleet Street
n06266710	photojournalism
n06266878	news photography
n06266973	rotogravure
n06267145	newspaper, paper
n06267564	daily
n06267655	gazette
n06267758	school newspaper, school paper
n06267893	tabloid, rag, sheet
n06267991	yellow journalism, tabloid, tab
n06271778	telecommunication, telecom
n06272290	telephone, telephony
n06272612	voice mail, voicemail
n06272803	call, phone call, telephone call
n06273207	call-back
n06273294	collect call
n06273414	call forwarding
n06273555	call-in
n06273743	call waiting
n06273890	crank call
n06273986	local call
n06274092	long distance, long-distance call, trunk call
n06274292	toll call
n06274546	wake-up call
n06274760	three-way calling
n06274921	telegraphy
n06275095	cable, cablegram, overseas telegram
n06275353	wireless
n06275471	radiotelegraph, radiotelegraphy, wireless telegraphy
n06276501	radiotelephone, radiotelephony, wireless telephone
n06276697	broadcasting
n06276902	Rediffusion
n06277025	multiplex
n06277135	radio, radiocommunication, wireless
n06277280	television, telecasting, TV, video
n06278338	cable television, cable
n06278475	high-definition television, HDTV
n06281040	reception
n06281175	signal detection, detection
n06340977	Hakham
n06359193	web site, website, internet site, site
n06359467	chat room, chatroom
n06359657	portal site, portal
n06415688	jotter
n06417096	breviary
n06418693	wordbook
n06419354	desk dictionary, collegiate dictionary
n06423496	reckoner, ready reckoner
n06470073	document, written document, papers
n06591815	album, record album
n06592078	concept album
n06592281	rock opera
n06592421	tribute album, benefit album
n06595351	magazine, mag
n06596179	colour supplement
n06596364	comic book
n06596474	news magazine
n06596607	pulp, pulp magazine
n06596727	slick, slick magazine, glossy
n06596845	trade magazine
n06613686	movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick
n06614901	outtake
n06616216	shoot-'em-up
n06618653	spaghetti Western
n06625062	encyclical, encyclical letter
n06785654	crossword puzzle, crossword
n06793231	sign
n06794110	street sign
n06874185	traffic light, traffic signal, stoplight
n06883725	swastika, Hakenkreuz
n06892775	concert
n06998748	artwork, art, graphics, nontextual matter
n07005523	lobe
n07248320	book jacket, dust cover, dust jacket, dust wrapper
n07273802	cairn
n07461050	three-day event
n07556406	comfort food
n07556637	comestible, edible, eatable, pabulum, victual, victuals
n07556872	tuck
n07556970	course
n07557165	dainty, delicacy, goody, kickshaw, treat
n07557434	dish
n07560193	fast food
n07560331	finger food
n07560422	ingesta
n07560542	kosher
n07560652	fare
n07560903	diet
n07561112	diet
n07561590	dietary
n07561848	balanced diet
n07562017	bland diet, ulcer diet
n07562172	clear liquid diet
n07562379	diabetic diet
n07562495	dietary supplement
n07562651	carbohydrate loading, carbo loading
n07562881	fad diet
n07562984	gluten-free diet
n07563207	high-protein diet
n07563366	high-vitamin diet, vitamin-deficiency diet
n07563642	light diet
n07563800	liquid diet
n07564008	low-calorie diet
n07564101	low-fat diet
n07564292	low-sodium diet, low-salt diet, salt-free diet
n07564515	macrobiotic diet
n07564629	reducing diet, obesity diet
n07564796	soft diet, pap, spoon food
n07564971	vegetarianism
n07565083	menu
n07565161	chow, chuck, eats, grub
n07565259	board, table
n07565608	mess
n07565725	ration
n07565945	field ration
n07566092	K ration
n07566231	C-ration
n07566340	foodstuff, food product
n07566863	starches
n07567039	breadstuff
n07567139	coloring, colouring, food coloring, food colouring, food color, food colour
n07567390	concentrate
n07567611	tomato concentrate
n07567707	meal
n07567980	kibble
n07568095	cornmeal, Indian meal
n07568241	farina
n07568389	matzo meal, matzoh meal, matzah meal
n07568502	oatmeal, rolled oats
n07568625	pea flour
n07568818	roughage, fiber
n07568991	bran
n07569106	flour
n07569423	plain flour
n07569543	wheat flour
n07569644	whole wheat flour, graham flour, graham, whole meal flour
n07569873	soybean meal, soybean flour, soy flour
n07570021	semolina
n07570530	corn gluten feed
n07570720	nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals
n07572353	commissariat, provisions, provender, viands, victuals
n07572616	larder
n07572858	frozen food, frozen foods
n07572957	canned food, canned foods, canned goods, tinned goods
n07573103	canned meat, tinned meat
n07573347	Spam
n07573453	dehydrated food, dehydrated foods
n07573563	square meal
n07573696	meal, repast
n07574176	potluck
n07574426	refection
n07574504	refreshment
n07574602	breakfast
n07574780	continental breakfast, petit dejeuner
n07574923	brunch
n07575076	lunch, luncheon, tiffin, dejeuner
n07575226	business lunch
n07575392	high tea
n07575510	tea, afternoon tea, teatime
n07575726	dinner
n07575984	supper
n07576182	buffet
n07576438	picnic
n07576577	cookout
n07576781	barbecue, barbeque
n07576969	clambake
n07577144	fish fry
n07577374	bite, collation, snack
n07577538	nosh
n07577657	nosh-up
n07577772	ploughman's lunch
n07577918	coffee break, tea break
n07578093	banquet, feast, spread
n07579575	entree, main course
n07579688	piece de resistance
n07579787	plate
n07579917	adobo
n07580053	side dish, side order, entremets
n07580253	special
n07580359	casserole
n07580470	chicken casserole
n07580592	chicken cacciatore, chicken cacciatora, hunter's chicken
n07581249	antipasto
n07581346	appetizer, appetiser, starter
n07581607	canape
n07581775	cocktail
n07581931	fruit cocktail
n07582027	crab cocktail
n07582152	shrimp cocktail
n07582277	hors d'oeuvre
n07582441	relish
n07582609	dip
n07582811	bean dip
n07582892	cheese dip
n07582970	clam dip
n07583066	guacamole
n07583197	soup
n07583865	soup du jour
n07583978	alphabet soup
n07584110	consomme
n07584228	madrilene
n07584332	bisque
n07584423	borsch, borsh, borscht, borsht, borshch, bortsch
n07584593	broth
n07584859	barley water
n07584938	bouillon
n07585015	beef broth, beef stock
n07585107	chicken broth, chicken stock
n07585208	broth, stock
n07585474	stock cube
n07585557	chicken soup
n07585644	cock-a-leekie, cocky-leeky
n07585758	gazpacho
n07585906	gumbo
n07585997	julienne
n07586099	marmite
n07586179	mock turtle soup
n07586318	mulligatawny
n07586485	oxtail soup
n07586604	pea soup
n07586718	pepper pot, Philadelphia pepper pot
n07586894	petite marmite, minestrone, vegetable soup
n07587023	potage, pottage
n07587111	pottage
n07587206	turtle soup, green turtle soup
n07587331	eggdrop soup
n07587441	chowder
n07587618	corn chowder
n07587700	clam chowder
n07587819	Manhattan clam chowder
n07587962	New England clam chowder
n07588111	fish chowder
n07588193	won ton, wonton, wonton soup
n07588299	split-pea soup
n07588419	green pea soup, potage St. Germain
n07588574	lentil soup
n07588688	Scotch broth
n07588817	vichyssoise
n07588947	stew
n07589458	bigos
n07589543	Brunswick stew
n07589724	burgoo
n07589872	burgoo
n07589967	olla podrida, Spanish burgoo
n07590068	mulligan stew, mulligan, Irish burgoo
n07590177	purloo, chicken purloo, poilu
n07590320	goulash, Hungarian goulash, gulyas
n07590502	hotchpotch
n07590611	hot pot, hotpot
n07590752	beef goulash
n07590841	pork-and-veal goulash
n07590974	porkholt
n07591049	Irish stew
n07591162	oyster stew
n07591236	lobster stew
n07591330	lobscouse, lobscuse, scouse
n07591473	fish stew
n07591586	bouillabaisse
n07591813	matelote
n07591961	paella
n07592094	fricassee
n07592317	chicken stew
n07592400	turkey stew
n07592481	beef stew
n07592656	ragout
n07592768	ratatouille
n07592922	salmi
n07593004	pot-au-feu
n07593107	slumgullion
n07593199	smorgasbord
n07593471	viand
n07593774	ready-mix
n07593972	brownie mix
n07594066	cake mix
n07594155	lemonade mix
n07594250	self-rising flour, self-raising flour
n07594737	choice morsel, tidbit, titbit
n07594840	savory, savoury
n07595051	calf's-foot jelly
n07595180	caramel, caramelized sugar
n07595368	lump sugar
n07595649	cane sugar
n07595751	castor sugar, caster sugar
n07595914	powdered sugar
n07596046	granulated sugar
n07596160	icing sugar
n07596362	corn sugar
n07596452	brown sugar
n07596566	demerara, demerara sugar
n07596684	sweet, confection
n07596967	confectionery
n07597145	confiture
n07597263	sweetmeat
n07597365	candy, confect
n07598256	candy bar
n07598529	carob bar
n07598622	hardbake
n07598734	hard candy
n07598928	barley-sugar, barley candy
n07599068	brandyball
n07599161	jawbreaker
n07599242	lemon drop
n07599383	sourball
n07599468	patty
n07599554	peppermint patty
n07599649	bonbon
n07599783	brittle, toffee, toffy
n07599911	peanut brittle
n07599998	chewing gum, gum
n07600177	gum ball
n07600285	bubble gum
n07600394	butterscotch
n07600506	candied fruit, succade, crystallized fruit
n07600696	candied apple, candy apple, taffy apple, caramel apple, toffee apple
n07600895	crystallized ginger
n07601025	grapefruit peel
n07601175	lemon peel
n07601290	orange peel
n07601407	candied citrus peel
n07601572	candy cane
n07601686	candy corn
n07601809	caramel
n07602650	center, centre
n07604956	comfit
n07605040	cotton candy, spun sugar, candyfloss
n07605198	dragee
n07605282	dragee
n07605380	fondant
n07605474	fudge
n07605597	chocolate fudge
n07605693	divinity, divinity fudge
n07605804	penuche, penoche, panoche, panocha
n07605944	gumdrop
n07606058	jujube
n07606191	honey crisp
n07606278	mint, mint candy
n07606419	horehound
n07606538	peppermint, peppermint candy
n07606669	jelly bean, jelly egg
n07606764	kiss, candy kiss
n07606933	molasses kiss
n07607027	meringue kiss
n07607138	chocolate kiss
n07607361	licorice, liquorice
n07607492	Life Saver
n07607605	lollipop, sucker, all-day sucker
n07607707	lozenge
n07607832	cachou
n07607967	cough drop, troche, pastille, pastil
n07608098	marshmallow
n07608245	marzipan, marchpane
n07608339	nougat
n07608429	nougat bar
n07608533	nut bar
n07608641	peanut bar
n07608721	popcorn ball
n07608866	praline
n07608980	rock candy
n07609083	rock candy, rock
n07609215	sugar candy
n07609316	sugarplum
n07609407	taffy
n07609549	molasses taffy
n07609632	truffle, chocolate truffle
n07609728	Turkish Delight
n07609840	dessert, sweet, afters
n07610295	ambrosia, nectar
n07610502	ambrosia
n07610620	baked Alaska
n07610746	blancmange
n07610890	charlotte
n07611046	compote, fruit compote
n07611148	dumpling
n07611267	flan
n07611358	frozen dessert
n07611733	junket
n07611839	mousse
n07611991	mousse
n07612137	pavlova
n07612273	peach melba
n07612367	whip
n07612530	prune whip
n07612632	pudding
n07612996	pudding, pud
n07613158	syllabub, sillabub
n07613266	tiramisu
n07613480	trifle
n07613671	tipsy cake
n07613815	jello, Jell-O
n07614103	apple dumpling
n07614198	ice, frappe
n07614348	water ice, sorbet
n07614500	ice cream, icecream
n07614730	ice-cream cone
n07614825	chocolate ice cream
n07615052	Neapolitan ice cream
n07615190	peach ice cream
n07615289	sherbert, sherbet
n07615460	strawberry ice cream
n07615569	tutti-frutti
n07615671	vanilla ice cream
n07615774	ice lolly, lolly, lollipop, popsicle
n07615954	ice milk
n07616046	frozen yogurt
n07616174	snowball
n07616265	snowball
n07616386	parfait
n07616487	ice-cream sundae, sundae
n07616590	split
n07616748	banana split
n07616906	frozen pudding
n07617051	frozen custard, soft ice cream
n07617188	pudding
n07617344	flummery
n07617447	fish mousse
n07617526	chicken mousse
n07617611	chocolate mousse
n07617708	plum pudding, Christmas pudding
n07617839	carrot pudding
n07617932	corn pudding
n07618029	steamed pudding
n07618119	duff, plum duff
n07618281	vanilla pudding
n07618432	chocolate pudding
n07618587	brown Betty
n07618684	Nesselrode, Nesselrode pudding
n07618871	pease pudding
n07619004	custard
n07619208	creme caramel
n07619301	creme anglais
n07619409	creme brulee
n07619508	fruit custard
n07619881	tapioca
n07620047	tapioca pudding
n07620145	roly-poly, roly-poly pudding
n07620327	suet pudding
n07620597	Bavarian cream
n07620689	maraschino, maraschino cherry
n07621264	nonpareil
n07621497	zabaglione, sabayon
n07621618	garnish
n07623136	pastry, pastry dough
n07624466	turnover
n07624666	apple turnover
n07624757	knish
n07624924	pirogi, piroshki, pirozhki
n07625061	samosa
n07625324	timbale
n07627931	puff paste, pate feuillete
n07628068	phyllo
n07628181	puff batter, pouf paste, pate a choux
n07631926	ice-cream cake, icebox cake
n07639069	doughnut, donut, sinker
n07641928	fish cake, fish ball
n07642361	fish stick, fish finger
n07642471	conserve, preserve, conserves, preserves
n07642742	apple butter
n07642833	chowchow
n07642933	jam
n07643026	lemon curd, lemon cheese
n07643200	strawberry jam, strawberry preserves
n07643306	jelly
n07643474	apple jelly
n07643577	crabapple jelly
n07643679	grape jelly
n07643764	marmalade
n07643891	orange marmalade
n07643981	gelatin, jelly
n07644244	gelatin dessert
n07648913	buffalo wing
n07648997	barbecued wing
n07650792	mess
n07650903	mince
n07651025	puree
n07654148	barbecue, barbeque
n07654298	biryani, biriani
n07655067	escalope de veau Orloff
n07655263	saute
n07663899	patty, cake
n07665438	veal parmesan, veal parmigiana
n07666176	veal cordon bleu
n07672914	margarine, margarin, oleo, oleomargarine, marge
n07678586	mincemeat
n07678729	stuffing, dressing
n07678953	turkey stuffing
n07679034	oyster stuffing, oyster dressing
n07679140	forcemeat, farce
n07679356	bread, breadstuff, staff of life
n07680168	anadama bread
n07680313	bap
n07680416	barmbrack
n07680517	breadstick, bread-stick
n07680655	grissino
n07680761	brown bread, Boston brown bread
n07680932	bun, roll
n07681264	tea bread
n07681355	caraway seed bread
n07681450	challah, hallah
n07681691	cinnamon bread
n07681805	cracked-wheat bread
n07681926	cracker
n07682197	crouton
n07682316	dark bread, whole wheat bread, whole meal bread, brown bread
n07682477	English muffin
n07682624	flatbread
n07682808	garlic bread
n07682952	gluten bread
n07683039	graham bread
n07683138	Host
n07683265	flatbrod
n07683360	bannock
n07683490	chapatti, chapati
n07683617	pita, pocket bread
n07683786	loaf of bread, loaf
n07684084	French loaf
n07684164	matzo, matzoh, matzah, unleavened bread
n07684289	nan, naan
n07684422	onion bread
